DATE,Actual,Prediction
2018-01-02,2695.81,2737.862488
2018-01-05,2743.15,2746.19734
2018-01-08,2747.71,2743.589692
2018-01-09,2751.29,2755.956389
2018-01-10,2748.23,2752.869141
2018-01-11,2767.56,2756.010541
2018-01-12,2786.24,2790.04855
2018-01-18,2798.03,2808.114308
2018-01-19,2810.3,2820.485557
2018-01-22,2832.97,2826.490097
2018-01-23,2839.13,2834.976331
2018-01-24,2837.54,2835.336845
2018-01-25,2839.25,2841.285258
2018-01-26,2872.87,2852.77203
2018-01-29,2853.53,2842.572037
2018-01-30,2822.43,2827.146527
2018-01-31,2823.81,2826.254633
2018-02-01,2821.98,2826.2922
2018-02-02,2762.13,2757.014204
2018-02-05,2648.94,2664.149171
2018-02-07,2681.66,2663.205228
2018-02-08,2581,2623.320274
2018-02-12,2656,2583.88876
2018-02-13,2662.94,2649.024364
2018-02-14,2698.63,2695.909174
2018-02-15,2731.2,2715.808928
2018-02-16,2732.22,2724.951562
2018-02-20,2716.26,2702.986372
2018-02-23,2747.3,2761.532397
2018-02-27,2744.28,2734.858874
2018-03-01,2677.67,2697.16384
2018-03-08,2738.97,2730.937038
2018-03-09,2786.57,2766.183327
2018-03-12,2783.02,2763.040636
2018-03-14,2749.48,2740.875008
2018-03-16,2752.01,2747.25946
2018-03-19,2712.92,2711.570274
2018-03-20,2716.94,2714.10407
2018-03-22,2643.69,2651.559109
2018-03-23,2588.26,2606.955367
2018-03-26,2658.55,2652.139277
2018-03-27,2612.62,2623.352133
2018-04-02,2581.88,2593.04205
2018-04-03,2614.45,2617.381438
2018-04-05,2662.84,2649.508191
2018-04-06,2604.47,2610.985927
2018-04-09,2613.16,2612.648787
2018-04-10,2656.87,2647.37176
2018-04-11,2642.19,2648.895069
2018-04-12,2663.99,2662.301163
2018-04-16,2677.84,2695.480533
2018-04-18,2708.64,2711.579916
2018-04-19,2693.13,2900.352467
2018-04-20,2670.14,2671.607272
2018-04-23,2670.29,2733.371641
2018-04-24,2634.56,2649.173686
2018-04-25,2639.4,2651.276565
2018-04-27,2669.91,2677.005644
2018-05-01,2654.8,2665.887342
2018-05-04,2663.42,2672.14454
2018-05-07,2672.63,2734.955472
2018-05-08,2671.92,2678.153642
2018-05-09,2697.79,2743.754297
2018-05-10,2723.07,2743.015911
2018-05-15,2711.45,2778.3533
2018-05-16,2722.46,2719.26886
2018-05-17,2720.13,2735.236205
2018-05-18,2712.97,2866.678127
2018-05-21,2733.01,2897.401823
2018-05-22,2724.44,2723.358463
2018-05-23,2733.29,2909.782032
2018-05-25,2721.33,2732.186947
2018-05-30,2724.01,2720.510658
2018-05-31,2705.27,2714.601544
2018-06-01,2734.62,2744.593743
2018-06-04,2746.87,2747.082923
2018-06-07,2770.37,2749.121403
2018-06-08,2779.03,2777.07552
2018-06-11,2782,2776.632976
2018-06-13,2775.63,2799.019531
2018-06-14,2782.49,2781.683908
2018-06-15,2779.66,2775.057433
2018-06-18,2773.75,2773.09616
2018-06-19,2762.59,2764.029385
2018-06-20,2767.32,2763.098676
2018-06-21,2749.76,2762.297856
2018-06-22,2754.88,2757.15238
2018-06-25,2717.07,2719.502996
2018-06-26,2723.06,2730.877904
2018-06-26,2723.06,2730.181134
2018-06-27,2699.63,2707.798392
2018-06-28,2716.31,2720.12632
2018-07-02,2726.71,2732.80768
2018-07-05,2736.61,2722.902997
2018-07-06,2759.82,2767.596623
2018-07-11,2774.02,2773.460585
2018-07-12,2798.29,2782.938375
2018-07-13,2801.31,2799.166725
2018-07-16,2798.43,2801.739944
2018-07-18,2815.62,2814.694777
2018-07-19,2804.49,2815.967861
2018-07-24,2820.4,2821.820673
2018-07-25,2846.07,2832.583638
2018-07-26,2837.44,2832.29647
2018-07-27,2818.82,2818.169871
2018-07-30,2802.6,2805.827339
2018-07-31,2816.29,2815.305841
2018-08-02,2827.22,2832.349961
2018-08-07,2858.45,2853.184694
2018-08-08,2857.7,2855.83898
2018-08-13,2821.93,2827.14289
2018-08-14,2839.96,2836.783427
2018-08-16,2840.69,2838.91052
2018-08-17,2850.13,2851.110765
2018-08-21,2862.96,2859.101283
2018-08-22,2861.82,2861.184295
2018-08-23,2856.98,2857.088197
2018-08-24,2874.69,2886.28038
2018-08-29,2914.04,2902.87944
2018-08-30,2901.13,2889.773698
2018-09-04,2896.72,2894.398159
2018-09-05,2888.6,2889.754921
2018-09-06,2878.05,2877.969275
2018-09-07,2871.68,2876.696871
2018-09-10,2877.13,2880.917737
2018-09-11,2887.89,2889.873072
2018-09-12,2888.92,2893.851812
2018-09-13,2904.18,2903.498533
2018-09-14,2904.98,2906.14051
2018-09-17,2888.8,2892.721095
2018-09-18,2904.31,2905.505602
2018-09-24,2919.37,2917.161987
2018-09-25,2915.56,2910.897593
2018-09-26,2905.97,2907.460005
2018-09-27,2914,2913.346087
2018-09-28,2913.98,2912.9798
2018-10-02,2923.43,2918.811867
2018-10-03,2925.51,2917.120413
2018-10-04,2901.61,2886.258544
2018-10-09,2880.34,2861.206536
2018-10-10,2785.68,2764.15869
2018-10-11,2728.37,2739.128809
2018-10-15,2750.79,2748.707928
2018-10-16,2809.92,2792.682635
2018-10-18,2768.78,2763.291658
2018-10-22,2755.88,2758.955455
2018-10-23,2740.69,2739.464961
2018-10-24,2656.1,2673.402146
2018-10-25,2705.57,2709.246648
2018-10-29,2641.25,2674.085817
2018-10-31,2711.74,2709.597201
2018-11-01,2740.37,2736.918415
2018-11-05,2738.31,2741.013433
2018-11-06,2755.45,2749.248869
2018-11-07,2813.89,2806.920296
2018-11-08,2806.83,2797.709957
2018-11-14,2701.58,2712.050153
2018-11-16,2736.27,2721.29138
2018-11-19,2690.73,2700.90641
2018-11-20,2641.89,2656.212903
2018-11-23,2632.56,2657.849048
2018-11-26,2673.45,2686.589544
2018-11-27,2682.17,2697.7594
2018-11-28,2743.79,2728.958999
2018-11-29,2737.76,2726.266061
2018-11-30,2760.17,2737.95097
2018-12-03,2790.37,2789.972617
2018-12-04,2700.06,2682.487925
2018-12-06,2695.95,2677.612628
2018-12-07,2633.08,2631.933233
2018-12-11,2636.78,2637.707944
2018-12-12,2651.07,2638.798317
2018-12-14,2599.95,2600.244032
2018-12-18,2546.16,2553.894482
2018-12-20,2467.42,2475.68727
2018-12-21,2416.62,2479.4656
2018-12-27,2488.83,2478.847953
2018-12-28,2485.74,2483.638957
2018-12-31,2506.85,2499.81374
2019-01-04,2531.94,2547.608593
2019-01-07,2549.69,2561.049696
2019-01-08,2574.41,2594.096842
2019-01-09,2584.96,2601.210695
2019-01-11,2596.26,2617.503004
2019-01-15,2610.3,2621.832824
2019-01-16,2616.1,2619.28068
2019-01-17,2635.96,2634.697071
2019-01-18,2670.71,2673.345595
2019-01-22,2632.9,2639.998901
2019-01-23,2638.7,2641.005266
2019-01-24,2642.33,2661.843173
2019-01-25,2664.76,2689.246348
2019-01-28,2643.85,2645.684338
2019-01-29,2640,2644.50134
2019-01-30,2681.05,2679.793545
2019-02-04,2724.87,2730.11731
2019-02-05,2737.7,2733.813477
2019-02-06,2731.61,2729.671602
2019-02-07,2706.05,2717.304575
2019-02-08,2707.88,2732.468818
2019-02-12,2744.73,2746.505501
2019-02-13,2753.03,2752.888189
2019-02-14,2745.73,2750.489493
2019-02-15,2775.6,2788.996828
2019-02-19,2779.76,2785.713804
2019-02-22,2792.67,2793.010484
2019-02-25,2796.11,2791.660943
2019-02-26,2793.9,2789.495282
2019-02-28,2784.49,2788.53466
2019-03-04,2792.81,2799.674883
2019-03-06,2771.45,2780.511202
2019-03-07,2748.93,2784.851525
2019-03-08,2743.07,2781.363041
2019-03-12,2791.52,2799.874452
2019-03-18,2832.94,2830.209977
2019-03-21,2854.88,2832.130708
2019-03-25,2798.36,2783.205424
2019-03-26,2818.46,2813.186646
2019-03-27,2805.37,2813.206061
2019-03-29,2834.4,2836.783047
2019-04-02,2867.24,2870.855428
2019-04-03,2873.4,2876.568268
2019-04-04,2879.39,2872.813767
2019-04-05,2892.74,2897.825466
2019-04-08,2895.77,2894.042047
2019-04-09,2878.2,2887.499049
2019-04-15,2905.58,2898.510949
2019-04-16,2907.06,2898.748885
2019-04-18,2905.03,2906.571006
2019-04-23,2933.68,2929.537688
2019-04-24,2927.25,2923.91784
2019-04-26,2939.88,2936.076814
2019-04-30,2945.83,2931.820273
2019-05-01,2923.73,2908.598149
2019-05-02,2917.52,2914.115223
2019-05-08,2879.42,2866.840985
2019-05-09,2870.72,2863.805835
2019-05-10,2881.4,2867.29578
2019-05-13,2811.87,2811.733949
2019-05-14,2834.41,2828.442484
2019-05-16,2876.32,2865.912874
2019-05-17,2859.53,2857.33949
2019-05-21,2864.36,2860.685683
2019-05-22,2856.27,2861.572829
2019-05-23,2822.24,2829.804376
2019-05-31,2752.06,2750.918827
2019-06-03,2744.45,2785.460013
2019-06-04,2803.27,2803.82244
2019-06-05,2826.15,2824.28268
2019-06-06,2843.49,2855.388893
2019-06-07,2873.34,2864.536417
2019-06-10,2886.73,2871.788318
2019-06-12,2879.84,2874.557161
2019-06-13,2891.64,2877.147542
2019-06-14,2886.98,2884.256359
2019-06-17,2889.67,2879.206072
2019-06-19,2926.46,2930.902737
2019-06-19,2926.46,2932.310519
2019-06-20,2954.18,2939.316214
2019-06-21,2950.46,2936.78497
2019-06-24,2945.35,2939.944804
2019-06-25,2917.38,2918.188725
2019-06-26,2913.78,2913.701922
2019-06-27,2924.92,2920.748269
2019-07-03,2995.82,2988.808762
2019-07-05,2990.41,2992.817272
2019-07-08,2975.95,2988.213851
2019-07-09,2979.63,2983.001791
2019-07-10,2993.07,2997.51527
2019-07-11,2999.91,3004.949303
2019-07-12,3013.77,3013.70981
2019-07-15,3014.3,3006.247416
2019-07-16,3004.04,3006.627894
2019-07-17,2984.42,2986.385568
2019-07-19,2976.61,2982.418868
2019-07-23,3005.47,3007.193436
2019-07-24,3019.56,3018.30099
2019-07-25,3003.67,3006.566247
2019-07-26,3025.86,3039.745915
2019-07-29,3020.97,3015.92825
2019-07-30,3013.18,3008.274564
2019-08-05,2844.74,2865.098593
2019-08-06,2881.77,2876.192146
2019-08-08,2938.09,2912.207833
2019-08-12,2883.75,2873.666696
2019-08-15,2847.6,2860.571183
2019-08-16,2888.68,2907.251221
2019-08-19,2923.65,2921.102522
2019-08-21,2924.43,2951.009304
2019-08-23,2847.11,2862.426886
2019-08-26,2878.38,2875.427426
2019-08-27,2869.16,2893.632406
2019-08-28,2887.94,2908.289837
2019-09-03,2906.27,2928.54751
2019-09-05,2976,2981.010341
