DATE,Actual,Prediction
2018-01-02,2695.81,2706.872718
2018-01-03,2713.06,2711.204507
2018-01-04,2723.99,2712.005303
2018-01-05,2743.15,2748.783091
2018-01-08,2747.71,2734.514619
2018-01-09,2751.29,2747.570244
2018-01-10,2748.23,2760.20479
2018-01-11,2767.56,2755.664546
2018-01-12,2786.24,2789.222094
2018-01-16,2776.42,2782.762399
2018-01-17,2802.56,2801.084616
2018-01-18,2798.03,2784.134023
2018-01-19,2810.3,2805.493031
2018-01-22,2832.97,2831.88287
2018-01-23,2839.13,2853.168003
2018-01-24,2837.54,2842.342491
2018-01-25,2839.25,2825.667571
2018-01-26,2872.87,2867.202252
2018-01-29,2853.53,2841.536948
2018-01-30,2822.43,2817.30595
2018-01-31,2823.81,2829.287145
2018-02-01,2821.98,2814.27516
2018-02-02,2762.13,2753.332721
2018-02-05,2648.94,2652.489161
2018-02-06,2695.14,2683.975864
2018-02-07,2681.66,2671.400686
2018-02-08,2581,2568.729497
2018-02-09,2619.55,2606.509933
2018-02-12,2656,2658.379036
2018-02-13,2662.94,2656.117025
2018-02-14,2698.63,2701.112128
2018-02-15,2731.2,2744.405957
2018-02-16,2732.22,2726.815127
2018-02-20,2716.26,2725.198953
2018-02-21,2701.33,2701.571775
2018-02-22,2703.96,2714.815597
2018-02-23,2747.3,2738.430826
2018-02-26,2779.6,2792.305167
2018-02-27,2744.28,2738.973749
2018-02-28,2713.83,2702.758787
2018-03-01,2677.67,2685.219573
2018-03-05,2720.94,2730.874216
2018-03-06,2728.12,2735.455187
2018-03-07,2726.8,2733.256137
2018-03-08,2738.97,2738.801471
2018-03-09,2786.57,2796.30855
2018-03-12,2783.02,2784.984027
2018-03-13,2765.31,2775.690487
2018-03-14,2749.48,2747.725308
2018-03-15,2747.33,2751.429956
2018-03-16,2752.01,2751.009347
2018-03-19,2712.92,2721.003414
2018-03-20,2716.94,2717.460945
2018-03-22,2643.69,2634.109313
2018-03-23,2588.26,2584.69932
2018-03-26,2658.55,2660.342162
2018-03-27,2612.62,2608.660373
2018-03-28,2605,2603.061778
2018-03-29,2640.87,2634.862111
2018-04-02,2581.88,2592.21607
2018-04-03,2614.45,2625.433893
2018-04-04,2644.69,2638.225583
2018-04-05,2662.84,2656.270277
2018-04-06,2604.47,2616.17218
2018-04-09,2613.16,2624.291055
2018-04-10,2656.87,2645.909872
2018-04-11,2642.19,2630.93508
2018-04-12,2663.99,2665.808349
2018-04-13,2656.3,2661.668869
2018-04-16,2677.84,2683.095908
2018-04-17,2706.39,2701.984925
2018-04-18,2708.64,2695.406597
2018-04-19,2693.13,2696.393461
2018-04-20,2670.14,2662.363911
2018-04-23,2670.29,2667.420984
2018-04-24,2634.56,2636.706824
2018-04-25,2639.4,2641.101053
2018-04-26,2666.94,2674.456342
2018-04-27,2669.91,2665.516202
2018-04-30,2648.05,2635.07669
2018-05-01,2654.8,2664.392347
2018-05-02,2635.67,2644.700745
2018-05-03,2629.73,2636.204975
2018-05-04,2663.42,2651.226712
2018-05-07,2672.63,2667.963702
2018-05-08,2671.92,2680.992925
2018-05-09,2697.79,2695.78821
2018-05-10,2723.07,2719.358868
2018-05-11,2727.72,2723.317087
2018-05-14,2730.13,2720.031115
2018-05-15,2711.45,2708.670144
2018-05-16,2722.46,2729.394287
2018-05-17,2720.13,2717.760815
2018-05-18,2712.97,2721.528295
2018-05-21,2733.01,2739.658996
2018-05-22,2724.44,2718.385493
2018-05-23,2733.29,2736.809733
2018-05-24,2727.76,2729.554311
2018-05-25,2721.33,2728.315672
2018-05-29,2689.86,2696.047592
2018-05-30,2724.01,2710.513205
2018-05-31,2705.27,2710.641451
2018-06-01,2734.62,2731.410194
2018-06-04,2746.87,2756.819643
2018-06-05,2748.8,2752.807015
2018-06-06,2772.35,2774.586474
2018-06-07,2770.37,2776.609587
2018-06-08,2779.03,2791.811167
2018-06-11,2782,2769.976236
2018-06-12,2786.85,2774.802767
2018-06-13,2775.63,2777.804149
2018-06-14,2782.49,2781.348057
2018-06-15,2779.66,2770.048317
2018-06-18,2773.75,2761.282109
2018-06-19,2762.59,2765.456515
2018-06-20,2767.32,2754.56716
2018-06-21,2749.76,2754.791186
2018-06-22,2754.88,2749.954682
2018-06-25,2717.07,2722.325275
2018-06-26,2723.06,2728.384774
2018-06-27,2699.63,2704.889737
2018-06-28,2716.31,2720.141765
2018-06-29,2718.37,2720.582858
2018-07-02,2726.71,2726.688098
2018-07-03,2713.22,2721.317078
2018-07-05,2736.61,2730.477306
2018-07-06,2759.82,2753.062569
2018-07-09,2784.17,2782.313174
2018-07-10,2793.84,2797.85016
2018-07-11,2774.02,2773.661377
2018-07-12,2798.29,2787.420919
2018-07-13,2801.31,2804.999055
2018-07-16,2798.43,2791.680826
2018-07-17,2809.55,2810.251792
2018-07-18,2815.62,2802.223933
2018-07-19,2804.49,2792.336524
2018-07-20,2801.83,2793.021089
2018-07-23,2806.98,2808.84191
2018-07-24,2820.4,2816.454231
2018-07-25,2846.07,2833.188145
2018-07-26,2837.44,2828.946428
2018-07-27,2818.82,2822.77929
2018-07-30,2802.6,2814.927886
2018-07-31,2816.29,2824.420873
2018-08-01,2813.36,2803.435161
2018-08-02,2827.22,2816.224861
2018-08-03,2840.35,2846.459836
2018-08-06,2850.4,2851.480998
2018-08-07,2858.45,2864.442382
2018-08-08,2857.7,2852.442751
2018-08-09,2853.58,2857.4777
2018-08-10,2833.28,2827.043521
2018-08-13,2821.93,2822.474275
2018-08-14,2839.96,2830.080997
2018-08-15,2818.37,2807.227
