source,target,value
SP500,DJI,1
SP500,NASDAQ Composite,1
SP500,RUT,1
SP500,FTSE,0
SP500,DAX Perf,0
SP500,CAC40,0
SP500,EURO50,0
SP500,MOEX_Russia,0
SP500,N225,0
SP500,HANG SENG,0
SP500,SSE_Composite,0
SP500,BSE IN,0
DJI,NASDAQ Composite,1
DJI,RUT,1
DJI,FTSE,0
DJI,DAX Perf,0
DJI,CAC40,0
DJI,EURO50,0
DJI,MOEX_Russia,0
DJI,N225,0
DJI,HANG SENG,0
DJI,SSE_Composite,0
DJI,BSE IN,0
NASDAQ Composite,RUT,1
NASDAQ Composite,FTSE,0
NASDAQ Composite,DAX Perf,0
NASDAQ Composite,CAC40,0
NASDAQ Composite,EURO50,0
NASDAQ Composite,MOEX_Russia,0
NASDAQ Composite,N225,0
NASDAQ Composite,HANG SENG,0
NASDAQ Composite,SSE_Composite,0
NASDAQ Composite,BSE IN,0
RUT,FTSE,0
RUT,DAX Perf,0
RUT,CAC40,0
RUT,EURO50,0
RUT,MOEX_Russia,0
RUT,N225,0
RUT,HANG SENG,0
RUT,SSE_Composite,0
RUT,BSE IN,0
FTSE,DAX Perf,1
FTSE,CAC40,1
FTSE,EURO50,1
FTSE,MOEX_Russia,0
FTSE,N225,0
FTSE,HANG SENG,0
FTSE,SSE_Composite,0
FTSE,BSE IN,0
DAX Perf,CAC40,1
DAX Perf,EURO50,1
DAX Perf,MOEX_Russia,0
DAX Perf,N225,0
DAX Perf,HANG SENG,0
DAX Perf,SSE_Composite,0
DAX Perf,BSE IN,0
CAC40,EURO50,1
CAC40,MOEX_Russia,0
CAC40,N225,0
CAC40,HANG SENG,0
CAC40,SSE_Composite,0
CAC40,BSE IN,0
EURO50,MOEX_Russia,0
EURO50,N225,0
EURO50,HANG SENG,0
EURO50,SSE_Composite,0
EURO50,BSE IN,0
MOEX_Russia,N225,0
MOEX_Russia,HANG SENG,0
MOEX_Russia,SSE_Composite,0
MOEX_Russia,BSE IN,0
N225,HANG SENG,0
N225,SSE_Composite,0
N225,BSE IN,0
HANG SENG,SSE_Composite,0
HANG SENG,BSE IN,0
SSE_Composite,BSE IN,0
