DATE,DPRIME,DTWEXBGS,GVZCLS,HQMCB10YRP,HQMCB10YR,OVXCLS,STLFSI4,T5YIE,T10Y2Y,TB3MS,VIXCLS,AAA,DEXUSEU,SP500
10/28/2013,3.25,92.1872,20.32,3.97,4.23,20.57,-0.604,1.79,2.22,0.05,13.31,4.53,1.3786,1762.11
10/29/2013,3.25,92.301,20.65,3.97,4.23,20.64,-0.604,1.76,2.22,0.05,13.41,4.53,1.377,1771.95
10/30/2013,3.25,92.3057,20.81,3.97,4.23,20.95,-0.604,1.77,2.22,0.05,13.65,4.53,1.3771,1763.31
10/31/2013,3.25,92.731,20.57,3.97,4.23,20.59,-0.604,1.74,2.26,0.05,13.75,4.53,1.3594,1756.54
11-01-2013,3.25,93.155,20.68,4.01,4.28,21.29,-0.5864,1.7,2.32,0.07,13.28,4.63,1.3488,1761.64
11-04-2013,3.25,92.9359,20.3,4.01,4.28,21.74,-0.5864,1.71,2.31,0.07,12.93,4.63,1.3516,1767.93
11-05-2013,3.25,93.2112,20.19,4.01,4.28,22.18,-0.5864,1.72,2.37,0.07,13.27,4.63,1.347,1762.97
11-06-2013,3.25,93.0943,19.43,4.01,4.28,20.98,-0.5864,1.77,2.37,0.07,12.67,4.63,1.353,1770.49
11-07-2013,3.25,93.4003,20.01,4.01,4.28,20.79,-0.5864,1.76,2.34,0.07,13.91,4.63,1.339,1747.15
11-08-2013,3.25,93.6619,19.37,4.01,4.28,19.7,-0.5912,1.77,2.45,0.07,12.9,4.63,1.3357,1770.61
11-12-2013,3.25,93.7651,21.2,4.01,4.28,20.32,-0.5912,1.79,2.46,0.07,12.82,4.63,1.3428,1767.69
11/13/2013,3.25,93.4848,20.46,4.01,4.28,19.63,-0.5912,1.79,2.43,0.07,12.52,4.63,1.3456,1782
11/14/2013,3.25,93.4328,19.44,4.01,4.28,19.92,-0.5912,1.8,2.4,0.07,12.37,4.63,1.3468,1790.62
11/15/2013,3.25,93.2854,18.03,4.01,4.28,19.39,-0.635,1.8,2.4,0.07,12.19,4.63,1.348,1798.18
